date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
16:03:33	20335/20335	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22044555141f3cf1:0%22	http://binarycart.com/bclivedemos/01-05-2014/v1/bs-binary-admin/assets/fonts/glyphicons-halflings-regular.eot	C:/Users/Tanmoy/Desktop/invoice/invoice/binarycart.com/bclivedemos/01-05-2014/v1/bs-binary-admin/assets/fonts/glyphicons-halflings-regular.eot	(from http://binarycart.com/bclivedemos/01-05-2014/v1/bs-binary-admin/assets/css/bootstrap.css)
16:03:36	62926/62926	---M--	200	added ('OK')	image/svg+xml	etag:%22044555141f3cf1:0%22	http://binarycart.com/bclivedemos/01-05-2014/v1/bs-binary-admin/assets/fonts/glyphicons-halflings-regular.svg	C:/Users/Tanmoy/Desktop/invoice/invoice/binarycart.com/bclivedemos/01-05-2014/v1/bs-binary-admin/assets/fonts/glyphicons-halflings-regular.svg	(from http://binarycart.com/bclivedemos/01-05-2014/v1/bs-binary-admin/assets/css/bootstrap.css)
16:03:37	23320/23320	---M--	200	added ('OK')	font/x-woff	etag:%22044555141f3cf1:0%22	http://binarycart.com/bclivedemos/01-05-2014/v1/bs-binary-admin/assets/fonts/glyphicons-halflings-regular.woff	C:/Users/Tanmoy/Desktop/invoice/invoice/binarycart.com/bclivedemos/01-05-2014/v1/bs-binary-admin/assets/fonts/glyphicons-halflings-regular.woff	(from http://binarycart.com/bclivedemos/01-05-2014/v1/bs-binary-admin/assets/css/bootstrap.css)
16:03:37	20335/20335	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%22044555141f3cf1:0%22	http://binarycart.com/bclivedemos/01-05-2014/v1/bs-binary-admin/assets/fonts/glyphicons-halflings-regular.eot?	C:/Users/Tanmoy/Desktop/invoice/invoice/binarycart.com/bclivedemos/01-05-2014/v1/bs-binary-admin/assets/fonts/glyphicons-halflings-regulard41d.eot	(from http://binarycart.com/bclivedemos/01-05-2014/v1/bs-binary-admin/assets/css/bootstrap.css)
16:03:38	41280/41280	---M--	200	added ('OK')	application/octet-stream	etag:%22044555141f3cf1:0%22	http://binarycart.com/bclivedemos/01-05-2014/v1/bs-binary-admin/assets/fonts/glyphicons-halflings-regular.ttf	C:/Users/Tanmoy/Desktop/invoice/invoice/binarycart.com/bclivedemos/01-05-2014/v1/bs-binary-admin/assets/fonts/glyphicons-halflings-regular.ttf	(from http://binarycart.com/bclivedemos/01-05-2014/v1/bs-binary-admin/assets/css/bootstrap.css)
16:03:44	56006/56006	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%220b57552f5c0cf1:0%22	http://binarycart.com/bclivedemos/01-05-2014/v1/bs-binary-admin/assets/font-awesome/fonts/fontawesome-webfont.eot?v=4.2.0	C:/Users/Tanmoy/Desktop/invoice/invoice/binarycart.com/bclivedemos/01-05-2014/v1/bs-binary-admin/assets/font-awesome/fonts/fontawesome-webfont78ce.eot	(from http://binarycart.com/bclivedemos/01-05-2014/v1/bs-binary-admin/assets/css/font-awesome.css)
16:03:48	287007/287007	---M--	200	added ('OK')	image/svg+xml	etag:%220b57552f5c0cf1:0%22	http://binarycart.com/bclivedemos/01-05-2014/v1/bs-binary-admin/assets/font-awesome/fonts/fontawesome-webfont.svg?v=4.2.0	C:/Users/Tanmoy/Desktop/invoice/invoice/binarycart.com/bclivedemos/01-05-2014/v1/bs-binary-admin/assets/font-awesome/fonts/fontawesome-webfont78ce.svg	(from http://binarycart.com/bclivedemos/01-05-2014/v1/bs-binary-admin/assets/css/font-awesome.css)
16:03:50	5178/5178	---M-Z	200	added ('OK')	text/css	etag:%220bca899ee64cf1:0%22	http://binarycart.com/bclivedemos/01-05-2014/v1/bs-binary-admin/assets/js/dataTables/dataTables.bootstrap.css	C:/Users/Tanmoy/Desktop/invoice/invoice/binarycart.com/bclivedemos/01-05-2014/v1/bs-binary-admin/assets/js/dataTables/dataTables.bootstrap.css	(from http://binarycart.com/bclivedemos/01-05-2014/v1/bs-binary-admin/table.html)
16:03:50	56006/56006	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%220b57552f5c0cf1:0%22	http://binarycart.com/bclivedemos/01-05-2014/v1/bs-binary-admin/assets/font-awesome/fonts/fontawesome-webfont.eot?	C:/Users/Tanmoy/Desktop/invoice/invoice/binarycart.com/bclivedemos/01-05-2014/v1/bs-binary-admin/assets/font-awesome/fonts/fontawesome-webfontd41d.eot	(from http://binarycart.com/bclivedemos/01-05-2014/v1/bs-binary-admin/assets/css/font-awesome.css)
16:03:52	65452/65452	---M--	200	added ('OK')	font/x-woff	etag:%220b57552f5c0cf1:0%22	http://binarycart.com/bclivedemos/01-05-2014/v1/bs-binary-admin/assets/font-awesome/fonts/fontawesome-webfont.woff?v=4.2.0	C:/Users/Tanmoy/Desktop/invoice/invoice/binarycart.com/bclivedemos/01-05-2014/v1/bs-binary-admin/assets/font-awesome/fonts/fontawesome-webfont78ce.woff	(from http://binarycart.com/bclivedemos/01-05-2014/v1/bs-binary-admin/assets/css/font-awesome.css)
16:03:52	9614/9614	---M-Z	200	added ('OK')	application/javascript	etag:%220bca899ee64cf1:0%22	http://binarycart.com/bclivedemos/01-05-2014/v1/bs-binary-admin/assets/js/dataTables/dataTables.bootstrap.js	C:/Users/Tanmoy/Desktop/invoice/invoice/binarycart.com/bclivedemos/01-05-2014/v1/bs-binary-admin/assets/js/dataTables/dataTables.bootstrap.js	(from http://binarycart.com/bclivedemos/01-05-2014/v1/bs-binary-admin/table.html)
16:03:56	112160/112160	---M--	200	added ('OK')	application/octet-stream	etag:%220b57552f5c0cf1:0%22	http://binarycart.com/bclivedemos/01-05-2014/v1/bs-binary-admin/assets/font-awesome/fonts/fontawesome-webfont.ttf?v=4.2.0	C:/Users/Tanmoy/Desktop/invoice/invoice/binarycart.com/bclivedemos/01-05-2014/v1/bs-binary-admin/assets/font-awesome/fonts/fontawesome-webfont78ce.ttf	(from http://binarycart.com/bclivedemos/01-05-2014/v1/bs-binary-admin/assets/css/font-awesome.css)
16:03:57	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2022%20Dec%202015%2010:04:01%20GMT	http://binarycart.com/bclivedemos/01-05-2014/v1/bs-binary-admin/assets/js/images/sort_both.png	C:/Users/Tanmoy/Desktop/invoice/invoice/binarycart.com/bclivedemos/01-05-2014/v1/bs-binary-admin/assets/js/images/sort_both.26.delayed	(from http://binarycart.com/bclivedemos/01-05-2014/v1/bs-binary-admin/assets/js/dataTables/dataTables.bootstrap.css)
16:03:58	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2022%20Dec%202015%2010:04:01%20GMT	http://binarycart.com/bclivedemos/01-05-2014/v1/bs-binary-admin/assets/js/images/sort_asc.png	C:/Users/Tanmoy/Desktop/invoice/invoice/binarycart.com/bclivedemos/01-05-2014/v1/bs-binary-admin/assets/js/images/sort_asc.27.delayed	(from http://binarycart.com/bclivedemos/01-05-2014/v1/bs-binary-admin/assets/js/dataTables/dataTables.bootstrap.css)
16:03:59	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2022%20Dec%202015%2010:04:03%20GMT	http://binarycart.com/bclivedemos/01-05-2014/v1/bs-binary-admin/assets/js/images/sort_desc.png	C:/Users/Tanmoy/Desktop/invoice/invoice/binarycart.com/bclivedemos/01-05-2014/v1/bs-binary-admin/assets/js/images/sort_desc.28.delayed	(from http://binarycart.com/bclivedemos/01-05-2014/v1/bs-binary-admin/assets/js/dataTables/dataTables.bootstrap.css)
16:04:00	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2022%20Dec%202015%2010:04:03%20GMT	http://binarycart.com/bclivedemos/01-05-2014/v1/bs-binary-admin/assets/js/images/sort_asc_disabled.png	C:/Users/Tanmoy/Desktop/invoice/invoice/binarycart.com/bclivedemos/01-05-2014/v1/bs-binary-admin/assets/js/images/sort_asc_disabled.29.delayed	(from http://binarycart.com/bclivedemos/01-05-2014/v1/bs-binary-admin/assets/js/dataTables/dataTables.bootstrap.css)
16:04:00	423608/423608	---MCZ	200	added ('OK')	application/javascript	etag:%220bca899ee64cf1:0%22	http://binarycart.com/bclivedemos/01-05-2014/v1/bs-binary-admin/assets/js/dataTables/jquery.dataTables.js	C:/Users/Tanmoy/Desktop/invoice/invoice/binarycart.com/bclivedemos/01-05-2014/v1/bs-binary-admin/assets/js/dataTables/jquery.dataTables.js	(from http://binarycart.com/bclivedemos/01-05-2014/v1/bs-binary-admin/table.html)
16:04:00	1245/1245	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2022%20Dec%202015%2010:04:04%20GMT	http://binarycart.com/bclivedemos/01-05-2014/v1/bs-binary-admin/assets/js/images/sort_desc_disabled.png	C:/Users/Tanmoy/Desktop/invoice/invoice/binarycart.com/bclivedemos/01-05-2014/v1/bs-binary-admin/assets/js/images/sort_desc_disabled.2a.delayed	(from http://binarycart.com/bclivedemos/01-05-2014/v1/bs-binary-admin/assets/js/dataTables/dataTables.bootstrap.css)
